wordpress_id,source_url,title,alt_text,caption,mime_type,published,modified
433,https://ai.colostate.edu/wp-content/uploads/sites/45/2025/09/scaled.png,Pueblo,CSU Pueblo Thunderwolf,<p>Join us October 15 at CSU Pueblo</p>,image/png,2025-09-02T07:03:16,2025-09-02T07:03:48
429,https://ai.colostate.edu/wp-content/uploads/sites/45/2025/09/CSU-Symbol-r-357-RGB.png,CSU-Symbol-r-357-RGB,CSU Fort Collins Ram logo,<p>Join us in Fort Collins on October 14</p>,image/png,2025-09-02T06:51:42,2025-09-02T06:52:30
425,https://ai.colostate.edu/wp-content/uploads/sites/45/2025/08/Flyer-Save-the-Date-AI-Symposium-Fort-Collins-1.png,Flyer – Save the Date AI Symposium – Fort Collins (1),Save the data - AI Symposium,<p>A flyer for Saving the dates on the AI Event</p>,image/png,2025-08-28T16:13:25,2025-08-28T16:13:56
378,https://ai.colostate.edu/wp-content/uploads/sites/45/2025/08/ai-learningPathway.pdf,ai-learningPathway,,,application/pdf,2025-08-11T08:48:43,2025-08-11T08:48:43
349,https://ai.colostate.edu/wp-content/uploads/sites/45/2025/07/CSU_AI_Design_Team-e1753732106736.jpeg,CSU_AI_Design_Team,Several members of the AI Design Team posing.,,image/jpeg,2025-07-28T13:36:30,2025-07-28T13:36:50
306,https://ai.colostate.edu/wp-content/uploads/sites/45/2025/07/Campus-aerial.jpg,Colorado State University,Aerial view of the CSU campus and Lory Student Center Plaza,,image/jpeg,2025-07-14T11:31:36,2025-07-14T11:32:06
285,https://ai.colostate.edu/wp-content/uploads/sites/45/2025/07/submit-post.png,submit-post,Submit a Post text on green background,,image/png,2025-07-13T19:43:47,2025-07-13T19:45:37
284,https://ai.colostate.edu/wp-content/uploads/sites/45/2025/07/contact-us.png,contact-us,Contact Us text on green background,,image/png,2025-07-13T19:43:06,2025-07-13T19:45:24
269,https://ai.colostate.edu/wp-content/uploads/sites/45/2025/07/multi-agent-model.jpg,multi-agent-model,flowchart of a multi-agent team,,image/jpeg,2025-07-13T19:15:49,2025-07-13T19:16:05
268,https://ai.colostate.edu/wp-content/uploads/sites/45/2025/07/agent-flowchart.jpg,agent-flowchart,Example Flowchart of AI Agentic modules,,image/jpeg,2025-07-13T19:14:56,2025-07-13T19:15:26
262,https://ai.colostate.edu/wp-content/uploads/sites/45/2025/07/llm-overview.jpg,llm-overview,"Chart comparing Claude, ChatGPT, and Gemini LLMs.",,image/jpeg,2025-07-13T19:09:59,2025-07-13T19:10:19
246,https://ai.colostate.edu/wp-content/uploads/sites/45/2025/06/Adam-Kiehl.jpg,Adam Kiehl,Adam Kiehl,,image/jpeg,2025-06-30T12:32:17,2025-06-30T12:32:26
41,https://ai.colostate.edu/wp-content/uploads/sites/45/2024/11/Taskforce-Structure-1.png,Taskforce Structure,AI Taskforce Structure,,image/png,2024-11-21T07:09:30,2024-11-21T07:09:54
40,https://ai.colostate.edu/wp-content/uploads/sites/45/2024/11/Taskforce-Structure.png,Taskforce-Structure,,,image/png,2024-11-21T07:07:16,2024-11-21T07:07:16
